date	state	new_confirmed	new_deceased	new_recovered	new_tested	total_confirmed	total_deceased	total_recovered	total_tested
2020-03-09	SC	26	1	0	232	124	1	0	776
2020-03-09	MS	11	0	0	289	36	0	0	580
2020-03-09	ID	4	0	0	229	16	0	0	957
2020-03-09	NY	808	10	0	5259	3429	18	0	18149
2020-03-09	RI	18	0	0	534	96	0	0	2206
2020-03-09	MP	0	0	0	0	0	0	0	0
2020-03-09	SD	5	0	0	499	58	7	0	1210
2020-03-09	NV	41	1	0	198	133	1	0	1296
2020-03-09	IN	20	1	0	137	99	1	0	565
2020-03-09	NM	20	0	0	526	71	0	0	1844
2020-03-09	DC	18	0	0	69	89	0	0	524
2020-03-09	OR	33	1	0	569	215	3	0	3558
2020-03-09	WV	0	0	0	79	0	0	0	193
2020-03-09	MN	52	0	0	1933	141	0	0	5804
2020-03-09	OK	9	0	0	194	31	0	0	604
2020-03-09	MO	8	0	0	169	27	0	0	531
2020-03-09	AR	21	0	0	156	61	0	0	572
2020-03-09	VI	1	0	0	0	4	0	0	1
2020-03-09	NE	17	0	0	140	184	0	0	828
2020-03-09	MI	156	0	0	1934	181	0	0	8290
2020-03-09	CT	39	0	0	104	109	0	0	762
2020-03-09	OH	47	0	0	532	138	0	0	1688
2020-03-09	ME	17	0	0	780	35	0	0	1272
2020-03-09	PR	2	0	0	0	17	0	0	14
2020-03-09	PA	71	0	0	736	287	0	0	2299
2020-03-09	WA	615	26	0	20962	3625	252	0	103909
2020-03-09	GU	0	0	0	0	6	0	0	26
2020-03-09	TN	48	0	0	319	182	0	0	983
2020-03-09	ND	0	0	0	124	6	0	0	393
2020-03-09	NH	13	0	0	332	60	0	0	1344
2020-03-09	UT	37	0	0	169	113	0	0	742
2020-03-09	AK	3	1	0	301	7	1	0	1230
2020-03-09	IL	93	0	0	783	386	0	0	3614
2020-03-09	AS	0	0	0	0	0	0	0	0
2020-03-09	GA	101	1	0	109	405	5	0	398
2020-03-09	TX	63	1	0	45	399	1	0	260
2020-03-09	KS	10	1	0	165	41	5	0	644
2020-03-09	FL	127	2	0	1066	485	18	0	5464
2020-03-09	AZ	12	0	0	150	76	0	0	1014
2020-03-09	VT	11	0	0	467	32	0	0	1781
2020-03-09	NC	27	0	0	478	140	0	0	1237
2020-03-09	VA	46	1	0	439	203	3	0	1455
2020-03-09	CA	416	9	0	7512	2400	38	0	14825
2020-03-09	HI	8	0	0	5	29	0	0	19
2020-03-09	NJ	165	3	0	258	466	11	0	1328
2020-03-09	LA	136	3	0	297	386	6	0	888
2020-03-09	AL	24	0	0	96	70	0	0	288
2020-03-09	KY	17	1	0	234	97	1	0	833
2020-03-09	MT	5	0	0	194	25	0	0	607
2020-03-09	WI	45	0	0	523	143	0	0	1471
2020-03-16	NJ	2668	24	0	2979	8420	91	0	10637
2020-03-16	ND	31	0	0	1259	148	0	0	5665
2020-03-16	NM	62	0	0	4803	334	0	0	24230
2020-03-16	DC	115	2	0	1208	569	6	17	5137
2020-03-16	AL	167	0	0	1736	758	0	0	3929
2020-03-16	MS	237	1	0	1103	781	5	0	5827
2020-03-16	WA	1307	62	0	27522	10166	582	0	289542
2020-03-16	WV	15	0	0	380	60	0	0	1813
2020-03-16	OK	71	2	0	664	341	7	0	5056
2020-03-16	NH	84	1	0	1962	408	1	0	10148
2020-03-16	VT	63	2	0	1017	260	10	0	6984
2020-03-16	NY	19949	173	0	72796	61494	577	0	261641
2020-03-16	MP	0	0	0	0	0	0	0	0
2020-03-16	MO	174	4	0	382	551	15	0	2682
2020-03-16	OH	394	6	0	31	1488	13	0	2463
2020-03-16	DE	95	0	0	962	354	0	0	4130
2020-03-16	GA	682	24	0	4948	3071	98	0	18024
2020-03-16	FL	1081	14	0	11755	4520	72	0	41965
2020-03-16	MT	37	0	0	975	166	0	0	6063
2020-03-16	NV	220	3	0	3522	1021	13	0	13149
2020-03-16	GU	26	1	0	164	108	2	0	758
2020-03-16	IN	240	11	0	1821	802	38	0	5573
2020-03-16	NC	268	0	0	7958	1111	0	0	28254
2020-03-16	PA	563	6	0	6493	2232	14	0	23749
2020-03-16	SD	18	0	0	551	113	7	0	6469
2020-03-16	CO	560	8	0	4678	2828	39	0	21962
2020-03-16	WY	18	0	0	615	150	0	0	2478
2020-03-16	HI	67	0	0	3004	274	0	0	3859
2020-03-16	ID	45	0	0	1086	213	0	0	5388
2020-03-16	LA	1035	31	0	5645	4177	102	0	15050
2020-03-16	TN	470	2	0	3565	1821	6	0	13451
2020-03-16	KY	102	2	0	1611	482	15	0	6030
2020-03-16	VA	203	5	0	3208	979	23	0	16378
2020-03-16	WI	371	5	0	6956	1630	18	0	27989
2020-03-16	CA	1652	28	0	18084	9610	176	0	90022
2020-03-16	KS	71	1	0	322	328	10	0	3194
2020-03-16	AZ	216	2	0	374	656	6	0	2799
2020-03-16	TX	641	6	0	9998	2820	31	0	36140
2020-03-16	AS	0	0	0	0	0	0	0	0
2020-03-16	AK	39	0	0	1389	153	7	0	6392
2020-03-16	UT	217	1	0	4877	885	2	0	15345
2020-03-16	IL	1181	12	0	8831	4531	38	0	35395
2020-03-16	MA	580	9	0	7645	3163	17	0	31467
2020-03-16	AR	179	0	0	912	701	0	0	4612
